church_id,name,city,state,zip_code,contact_name,contact_email,contact_phone,active_volunteers,total_fulfilled
C001,First Baptist Church,Charlotte,NC,28205,Pastor B,contact1@church.org,555-3504,58,97
C002,Hope Fellowship,Atlanta,GA,30302,Pastor C,contact2@church.org,555-9095,39,96
C003,New Life Church,Birmingham,AL,35205,Pastor D,contact3@church.org,555-6295,50,40
C004,Trinity Methodist,Charlotte,NC,28204,Pastor E,contact4@church.org,555-2118,40,56
C005,Cornerstone Church,Nashville,TN,37203,Pastor F,contact5@church.org,555-1920,32,64
C006,Redemption Church,Atlanta,GA,30303,Pastor G,contact6@church.org,555-8565,38,4
C007,Faith Assembly,Atlanta,GA,30303,Pastor H,contact7@church.org,555-5703,14,82
C008,Crossroads Church,Atlanta,GA,30305,Pastor I,contact8@church.org,555-9307,34,59
C009,Harvest Church,Atlanta,GA,30304,Pastor J,contact9@church.org,555-4084,30,77
C010,The Bridge Church,Birmingham,AL,35205,Pastor K,contact10@church.org,555-3471,13,57
C011,Lighthouse Church,Atlanta,GA,30303,Pastor L,contact11@church.org,555-2381,42,82
C012,Grace Community Church,Charlotte,NC,28201,Pastor M,contact12@church.org,555-5059,55,56
C013,First Baptist Church - Birmingham,Birmingham,AL,35205,Pastor N,contact13@church.org,555-9564,49,20
C014,Hope Fellowship - Nashville,Nashville,TN,37203,Pastor O,contact14@church.org,555-5634,34,52
C015,New Life Church - Nashville,Nashville,TN,37205,Pastor P,contact15@church.org,555-1857,60,80
C016,Trinity Methodist - Nashville,Nashville,TN,37201,Pastor Q,contact16@church.org,555-6401,16,71
C017,Cornerstone Church - Birmingham,Birmingham,AL,35203,Pastor R,contact17@church.org,555-5128,56,84
C018,Redemption Church - Charlotte,Charlotte,NC,28203,Pastor S,contact18@church.org,555-2335,47,84
C019,Faith Assembly - Charlotte,Charlotte,NC,28203,Pastor T,contact19@church.org,555-6082,51,89
C020,Crossroads Church - Birmingham,Birmingham,AL,35202,Pastor U,contact20@church.org,555-2388,29,71
C021,Harvest Church - Birmingham,Birmingham,AL,35203,Pastor V,contact21@church.org,555-3093,52,89
C022,The Bridge Church - Atlanta,Atlanta,GA,30304,Pastor W,contact22@church.org,555-9331,33,2
C023,Lighthouse Church - Nashville,Nashville,TN,37203,Pastor X,contact23@church.org,555-3953,23,43
C024,Grace Community Church - Birmingham,Birmingham,AL,35202,Pastor Y,contact24@church.org,555-4711,18,19
C025,First Baptist Church - Atlanta,Atlanta,GA,30303,Pastor Z,contact25@church.org,555-2657,42,98
C026,Hope Fellowship - Atlanta,Atlanta,GA,30303,Pastor A,contact26@church.org,555-3147,48,48
C027,New Life Church - Charlotte,Charlotte,NC,28202,Pastor B,contact27@church.org,555-3962,54,98
C028,Trinity Methodist - Charlotte,Charlotte,NC,28204,Pastor C,contact28@church.org,555-1715,36,46
C029,Cornerstone Church - Charlotte,Charlotte,NC,28204,Pastor D,contact29@church.org,555-5668,58,95
C030,Redemption Church - Birmingham,Birmingham,AL,35202,Pastor E,contact30@church.org,555-9749,25,39
