need_id,request_date,category,item_description,quantity,urgency,family_id,city,state,zip_code,status,matched_date,fulfilled_date,assigned_donor_id,assigned_church_id,notes
N00001,2024-12-13,Medical,prescription assistance,4,Critical,F0042,Nashville,TN,37202,Closed,2024-12-14,2024-12-15,D0119,C025,Urgent need for family in crisis
N00002,2024-11-24,Clothing,school clothes,6,Low,F0073,Atlanta,GA,30301,Fulfilled,2024-11-25,2024-11-25,D0142,C030,Urgent need for family in crisis
N00003,2024-08-11,Transportation,uber/lyft credit,2,Critical,F0090,Charlotte,NC,28201,Requested,,,,,
N00004,2024-04-30,Utilities,heating assistance,3,Low,F0183,Nashville,TN,37203,Fulfilled,2024-04-30,2024-04-30,D0096,C008,Urgent need for family in crisis
N00005,2024-08-29,Clothing,winter coat,2,Critical,F0115,Nashville,TN,37205,Cancelled,,,,,
N00006,2024-04-20,Food,groceries,1,High,F0061,Nashville,TN,37203,Matched,2024-04-21,,D0136,C014,
N00007,2024-02-02,School Supplies,calculator,4,Low,F0162,Birmingham,AL,35205,Requested,,,,,
N00008,2024-01-01,Clothing,school clothes,2,Low,F0135,Birmingham,AL,35203,Closed,2024-01-01,2024-01-04,D0062,C019,
N00009,2024-01-23,Housing,furniture,4,High,F0065,Birmingham,AL,35201,Cancelled,,,,,
N00010,2024-12-02,Food,food pantry items,1,High,F0035,Charlotte,NC,28201,Cancelled,,,,,
N00011,2024-12-22,Childcare,wipes,1,Critical,F0010,Birmingham,AL,35203,Fulfilled,2024-12-23,2024-12-24,D0047,C026,
N00012,2024-06-07,School Supplies,backpack,1,Medium,F0074,Nashville,TN,37203,Closed,2024-06-08,2024-06-09,D0140,C016,Urgent need for family in crisis
N00013,2024-03-04,Housing,bedding,4,Critical,F0087,Nashville,TN,37202,In Progress,2024-03-05,,D0103,C024,
N00014,2024-02-12,Medical,medical supplies,4,Low,F0111,Nashville,TN,37205,Cancelled,,,,,Urgent need for family in crisis
N00015,2024-02-22,Clothing,school clothes,3,High,F0079,Nashville,TN,37204,Requested,,,,,
N00016,2024-06-28,Utilities,electric bill,3,Low,F0020,Birmingham,AL,35204,Fulfilled,2024-06-28,2024-06-30,D0091,C020,
N00017,2024-11-07,Clothing,winter coat,4,Low,F0033,Charlotte,NC,28201,Cancelled,,,,,
N00018,2024-10-17,Childcare,car seat,5,Medium,F0174,Birmingham,AL,35204,Requested,,,,,Urgent need for family in crisis
N00019,2024-10-20,Childcare,crib,3,High,F0064,Atlanta,GA,30301,Matched,2024-10-21,,D0094,C013,
N00020,2024-10-14,Clothing,baby clothes,3,High,F0181,Birmingham,AL,35204,Requested,,,,,
N00021,2024-03-03,Transportation,uber/lyft credit,6,Critical,F0023,Charlotte,NC,28203,Matched,2024-03-03,,D0116,C006,
N00022,2024-03-21,Food,food pantry items,6,Medium,F0093,Nashville,TN,37205,Cancelled,,,,,
N00023,2024-09-09,School Supplies,notebooks,3,High,F0120,Charlotte,NC,28205,Requested,,,,,
N00024,2024-07-22,Food,groceries,6,Critical,F0135,Nashville,TN,37204,Cancelled,,,,,Urgent need for family in crisis
N00025,2024-11-24,Food,meal,4,Critical,F0175,Nashville,TN,37205,Requested,,,,,
N00026,2024-09-14,Clothing,shoes,1,Medium,F0078,Birmingham,AL,35202,Requested,,,,,
N00027,2024-02-10,School Supplies,pencils,2,High,F0158,Nashville,TN,37205,In Progress,2024-02-10,,D0142,C009,
N00028,2024-12-03,Clothing,shoes,5,Low,F0008,Charlotte,NC,28201,Closed,2024-12-04,2024-12-09,D0087,C027,
N00029,2024-11-12,Transportation,bus pass,1,Critical,F0161,Birmingham,AL,35205,Cancelled,,,,,
N00030,2024-12-16,Transportation,uber/lyft credit,1,Medium,F0113,Charlotte,NC,28204,Fulfilled,2024-12-16,2024-12-20,D0117,C003,
N00031,2024-06-09,School Supplies,pencils,3,High,F0103,Charlotte,NC,28202,Cancelled,,,,,Urgent need for family in crisis
N00032,2024-08-26,Food,food pantry items,3,Critical,F0064,Charlotte,NC,28202,Requested,,,,,
N00033,2024-05-07,Transportation,uber/lyft credit,3,Medium,F0196,Birmingham,AL,35202,Matched,2024-05-07,,D0148,C024,
N00034,2024-09-11,Medical,medical supplies,1,Critical,F0130,Nashville,TN,37204,Requested,,,,,Urgent need for family in crisis
N00035,2024-01-25,School Supplies,school uniforms,3,Critical,F0153,Nashville,TN,37204,Requested,,,,,
N00036,2024-03-09,Housing,bed,4,High,F0012,Birmingham,AL,35204,In Progress,2024-03-10,,D0094,C025,
N00037,2024-02-07,School Supplies,pencils,3,Low,F0033,Nashville,TN,37201,Fulfilled,2024-02-08,2024-02-11,D0116,C025,
N00038,2024-03-14,Childcare,stroller,5,Low,F0012,Nashville,TN,37201,Matched,2024-03-15,,D0131,C013,
N00039,2024-03-17,Childcare,crib,5,High,F0042,Birmingham,AL,35204,Closed,2024-03-18,2024-03-23,D0036,C011,Urgent need for family in crisis
N00040,2024-12-28,Transportation,car repair,3,High,F0173,Birmingham,AL,35201,Closed,2024-12-28,2024-12-28,D0122,C027,Urgent need for family in crisis
N00041,2024-05-15,Transportation,gas card,5,Medium,F0185,Birmingham,AL,35201,Cancelled,,,,,
N00042,2024-12-14,Clothing,baby clothes,1,Medium,F0005,Charlotte,NC,28204,Matched,2024-12-14,,D0147,C023,
N00043,2024-07-29,Clothing,baby clothes,6,Low,F0181,Charlotte,NC,28202,Closed,2024-07-30,2024-08-04,D0121,C028,
N00044,2024-06-09,Childcare,crib,5,High,F0174,Birmingham,AL,35203,Matched,2024-06-10,,D0137,C011,
N00045,2024-10-12,School Supplies,notebooks,3,Medium,F0177,Nashville,TN,37204,In Progress,2024-10-12,,D0077,C025,
N00046,2024-05-27,Childcare,stroller,5,Critical,F0102,Nashville,TN,37203,Requested,,,,,Urgent need for family in crisis
N00047,2024-05-27,Clothing,school clothes,1,High,F0114,Atlanta,GA,30303,Cancelled,,,,,Urgent need for family in crisis
N00048,2024-10-14,School Supplies,notebooks,3,Medium,F0028,Nashville,TN,37205,Cancelled,,,,,Urgent need for family in crisis
N00049,2024-12-08,School Supplies,notebooks,4,High,F0184,Atlanta,GA,30304,Closed,2024-12-08,2024-12-09,D0060,C002,
N00050,2024-07-27,Clothing,winter coat,4,Critical,F0167,Charlotte,NC,28202,Cancelled,,,,,Urgent need for family in crisis
N00051,2024-11-26,Transportation,car repair,1,Medium,F0137,Nashville,TN,37201,Requested,,,,,Urgent need for family in crisis
N00052,2024-01-19,Clothing,baby clothes,3,Low,F0003,Charlotte,NC,28203,Fulfilled,2024-01-20,2024-01-24,D0048,C030,
N00053,2024-08-20,Food,food pantry items,5,Critical,F0035,Nashville,TN,37205,Cancelled,,,,,
N00054,2024-03-24,School Supplies,backpack,4,High,F0184,Nashville,TN,37202,Cancelled,,,,,
N00055,2024-03-30,Childcare,car seat,5,High,F0023,Charlotte,NC,28204,Closed,2024-03-31,2024-04-03,D0104,C027,
N00056,2024-06-14,Clothing,shoes,2,Critical,F0193,Birmingham,AL,35203,Matched,2024-06-14,,D0067,C013,Urgent need for family in crisis
N00057,2024-11-30,Transportation,gas card,6,Low,F0120,Nashville,TN,37203,In Progress,2024-12-01,,D0061,C002,
N00058,2024-07-07,Transportation,gas card,2,Critical,F0192,Nashville,TN,37205,Closed,2024-07-07,2024-07-10,D0057,C005,
N00059,2024-05-06,Medical,first aid,5,Low,F0135,Charlotte,NC,28204,Cancelled,,,,,
N00060,2024-02-01,Childcare,diapers,2,Medium,F0084,Atlanta,GA,30305,Closed,2024-02-02,2024-02-05,D0052,C019,
N00061,2024-02-16,School Supplies,school uniforms,5,Critical,F0117,Birmingham,AL,35205,Closed,2024-02-17,2024-02-17,D0015,C015,
N00062,2024-01-12,Medical,first aid,5,Low,F0012,Nashville,TN,37204,Fulfilled,2024-01-12,2024-01-13,D0001,C024,
N00063,2024-08-29,Food,groceries,3,Critical,F0047,Atlanta,GA,30302,Requested,,,,,Urgent need for family in crisis
N00064,2024-08-17,Utilities,water bill,5,Medium,F0168,Birmingham,AL,35203,Fulfilled,2024-08-18,2024-08-21,D0021,C022,
N00065,2024-04-24,Utilities,heating assistance,1,High,F0119,Charlotte,NC,28205,Requested,,,,,
N00066,2024-08-23,Utilities,electric bill,6,Low,F0009,Charlotte,NC,28204,In Progress,2024-08-23,,D0071,C007,
N00067,2024-02-04,Housing,mattress,5,Low,F0115,Charlotte,NC,28205,Requested,,,,,
N00068,2024-07-24,Housing,mattress,1,Medium,F0129,Atlanta,GA,30303,Fulfilled,2024-07-24,2024-07-28,D0139,C007,
N00069,2024-05-01,Childcare,stroller,4,High,F0071,Nashville,TN,37201,In Progress,2024-05-01,,D0134,C008,
N00070,2024-01-25,Clothing,baby clothes,5,High,F0179,Birmingham,AL,35204,In Progress,2024-01-26,,D0098,C026,
N00071,2024-10-02,Transportation,uber/lyft credit,6,Medium,F0119,Charlotte,NC,28201,Fulfilled,2024-10-02,2024-10-07,D0058,C010,
N00072,2024-07-17,Utilities,heating assistance,6,Low,F0116,Charlotte,NC,28203,Matched,2024-07-17,,D0053,C011,
N00073,2024-07-12,School Supplies,backpack,5,Low,F0019,Nashville,TN,37202,Cancelled,,,,,Urgent need for family in crisis
N00074,2024-06-19,School Supplies,calculator,2,Low,F0192,Charlotte,NC,28204,In Progress,2024-06-19,,D0055,C030,Urgent need for family in crisis
N00075,2024-10-09,School Supplies,calculator,5,High,F0079,Charlotte,NC,28203,In Progress,2024-10-09,,D0098,C015,
N00076,2024-08-28,Medical,medical supplies,4,Low,F0145,Atlanta,GA,30302,In Progress,2024-08-28,,D0095,C011,Urgent need for family in crisis
N00077,2024-05-31,Housing,bedding,4,Medium,F0128,Birmingham,AL,35205,Matched,2024-05-31,,D0085,C008,
N00078,2024-11-24,Childcare,car seat,4,Critical,F0044,Birmingham,AL,35203,Cancelled,,,,,
N00079,2024-09-25,Medical,prescription assistance,1,Low,F0196,Atlanta,GA,30301,Requested,,,,,
N00080,2024-01-05,School Supplies,backpack,1,Critical,F0169,Charlotte,NC,28204,Matched,2024-01-06,,D0117,C012,
N00081,2024-09-28,Utilities,electric bill,3,High,F0005,Atlanta,GA,30305,Cancelled,,,,,Urgent need for family in crisis
N00082,2024-02-19,Utilities,electric bill,5,High,F0091,Atlanta,GA,30303,Closed,2024-02-19,2024-02-22,D0062,C007,Urgent need for family in crisis
N00083,2024-08-23,Food,food pantry items,1,Low,F0024,Birmingham,AL,35204,Closed,2024-08-23,2024-08-27,D0058,C010,
N00084,2024-12-25,Medical,prescription assistance,4,High,F0145,Atlanta,GA,30301,Matched,2024-12-25,,D0128,C028,Urgent need for family in crisis
N00085,2024-12-20,Housing,mattress,1,High,F0140,Charlotte,NC,28205,Closed,2024-12-21,2024-12-26,D0070,C002,
N00086,2024-04-16,Clothing,school clothes,3,Medium,F0145,Atlanta,GA,30302,Closed,2024-04-16,2024-04-16,D0102,C030,
N00087,2024-07-15,Utilities,heating assistance,2,Low,F0129,Nashville,TN,37203,Cancelled,,,,,
N00088,2024-06-23,Utilities,electric bill,1,High,F0116,Atlanta,GA,30304,Closed,2024-06-24,2024-06-26,D0102,C025,
N00089,2024-12-14,Utilities,water bill,5,High,F0064,Charlotte,NC,28201,Closed,2024-12-15,2024-12-19,D0098,C003,
N00090,2024-07-18,Clothing,baby clothes,1,High,F0114,Charlotte,NC,28203,In Progress,2024-07-19,,D0028,C003,Urgent need for family in crisis
N00091,2024-04-05,Food,meal,4,Low,F0007,Atlanta,GA,30301,Fulfilled,2024-04-06,2024-04-08,D0143,C018,
N00092,2024-01-07,Food,food pantry items,1,Medium,F0147,Birmingham,AL,35205,In Progress,2024-01-08,,D0100,C025,
N00093,2024-05-17,Utilities,electric bill,1,Medium,F0112,Charlotte,NC,28203,In Progress,2024-05-17,,D0127,C005,
N00094,2024-05-08,Medical,prescription assistance,5,Medium,F0118,Nashville,TN,37201,Matched,2024-05-09,,D0127,C020,
N00095,2024-11-13,Housing,furniture,6,Medium,F0077,Nashville,TN,37203,Fulfilled,2024-11-13,2024-11-16,D0113,C011,
N00096,2024-03-31,School Supplies,calculator,6,Critical,F0148,Nashville,TN,37202,Fulfilled,2024-03-31,2024-04-04,D0075,C024,
N00097,2024-02-28,Transportation,uber/lyft credit,5,Low,F0187,Nashville,TN,37204,Closed,2024-02-28,2024-03-03,D0140,C006,Urgent need for family in crisis
N00098,2024-12-20,School Supplies,calculator,4,Critical,F0036,Nashville,TN,37203,Requested,,,,,
N00099,2024-02-07,Clothing,baby clothes,5,Critical,F0140,Birmingham,AL,35201,Fulfilled,2024-02-08,2024-02-10,D0123,C019,Urgent need for family in crisis
N00100,2024-02-25,Childcare,stroller,6,Low,F0145,Atlanta,GA,30304,Matched,2024-02-26,,D0091,C006,Urgent need for family in crisis
N00101,2024-01-06,Childcare,crib,3,Medium,F0131,Atlanta,GA,30305,Requested,,,,,
N00102,2024-07-19,School Supplies,calculator,1,Critical,F0027,Nashville,TN,37203,Fulfilled,2024-07-20,2024-07-22,D0129,C005,
N00103,2024-06-27,Food,groceries,2,Critical,F0090,Charlotte,NC,28204,In Progress,2024-06-27,,D0117,C026,
N00104,2024-06-02,Medical,medical supplies,6,Low,F0006,Atlanta,GA,30303,Requested,,,,,
N00105,2024-10-09,Clothing,shoes,4,Medium,F0104,Charlotte,NC,28202,Matched,2024-10-09,,D0144,C014,
N00106,2024-11-10,Utilities,water bill,1,Medium,F0053,Atlanta,GA,30303,Matched,2024-11-11,,D0110,C013,Urgent need for family in crisis
N00107,2024-07-06,Food,groceries,3,Critical,F0136,Charlotte,NC,28203,In Progress,2024-07-06,,D0118,C004,
N00108,2024-06-27,Utilities,heating assistance,6,High,F0158,Atlanta,GA,30305,In Progress,2024-06-28,,D0045,C027,
N00109,2024-05-02,Clothing,school clothes,6,Medium,F0131,Atlanta,GA,30304,In Progress,2024-05-02,,D0047,C012,
N00110,2024-04-05,Clothing,baby clothes,6,Medium,F0143,Birmingham,AL,35202,Fulfilled,2024-04-06,2024-04-11,D0138,C023,
N00111,2024-08-18,Clothing,shoes,2,Medium,F0099,Nashville,TN,37205,Closed,2024-08-18,2024-08-20,D0092,C001,
N00112,2024-07-31,Medical,medical supplies,4,Critical,F0043,Birmingham,AL,35201,Cancelled,,,,,
N00113,2024-05-20,School Supplies,pencils,4,Critical,F0141,Atlanta,GA,30305,Matched,2024-05-21,,D0074,C006,
N00114,2024-10-04,Food,food pantry items,6,Critical,F0140,Nashville,TN,37202,Requested,,,,,Urgent need for family in crisis
N00115,2024-01-17,Food,meal,1,Critical,F0031,Nashville,TN,37202,Fulfilled,2024-01-17,2024-01-22,D0090,C028,
N00116,2024-03-25,Childcare,stroller,1,High,F0137,Birmingham,AL,35203,Closed,2024-03-25,2024-03-26,D0053,C027,
N00117,2024-05-28,Clothing,school clothes,1,Medium,F0193,Nashville,TN,37204,Closed,2024-05-28,2024-06-01,D0132,C029,Urgent need for family in crisis
N00118,2024-05-07,Transportation,bus pass,2,Critical,F0126,Charlotte,NC,28202,Matched,2024-05-08,,D0083,C027,
N00119,2024-08-19,Transportation,uber/lyft credit,6,Low,F0104,Birmingham,AL,35205,Requested,,,,,Urgent need for family in crisis
N00120,2024-06-16,Childcare,crib,6,High,F0017,Birmingham,AL,35205,Closed,2024-06-16,2024-06-18,D0024,C024,
N00121,2024-05-17,Utilities,electric bill,5,Medium,F0145,Birmingham,AL,35204,In Progress,2024-05-17,,D0087,C018,Urgent need for family in crisis
N00122,2024-11-16,Housing,bed,2,Critical,F0117,Atlanta,GA,30301,Fulfilled,2024-11-16,2024-11-20,D0032,C030,Urgent need for family in crisis
N00123,2024-11-28,Utilities,electric bill,6,High,F0065,Charlotte,NC,28201,In Progress,2024-11-28,,D0071,C003,
N00124,2024-11-16,Clothing,winter coat,6,Low,F0181,Birmingham,AL,35201,In Progress,2024-11-17,,D0060,C014,
N00125,2024-10-30,Medical,prescription assistance,1,High,F0031,Charlotte,NC,28204,Matched,2024-10-31,,D0114,C001,
N00126,2024-07-15,Medical,prescription assistance,6,Low,F0027,Charlotte,NC,28203,Requested,,,,,
N00127,2024-03-09,Transportation,bus pass,6,Medium,F0018,Birmingham,AL,35205,Cancelled,,,,,
N00128,2024-04-19,Clothing,baby clothes,6,Medium,F0106,Nashville,TN,37205,Cancelled,,,,,
N00129,2024-03-12,School Supplies,backpack,5,Critical,F0090,Atlanta,GA,30304,Requested,,,,,
N00130,2024-11-26,Clothing,shoes,2,High,F0200,Nashville,TN,37201,Requested,,,,,Urgent need for family in crisis
N00131,2024-07-19,Transportation,bus pass,2,Critical,F0099,Charlotte,NC,28201,In Progress,2024-07-20,,D0014,C026,
N00132,2024-06-11,Food,groceries,3,Medium,F0196,Nashville,TN,37204,Matched,2024-06-12,,D0146,C014,Urgent need for family in crisis
N00133,2024-01-08,Food,groceries,1,Critical,F0130,Atlanta,GA,30303,In Progress,2024-01-08,,D0011,C030,
N00134,2024-02-12,Utilities,water bill,5,Medium,F0072,Birmingham,AL,35201,Cancelled,,,,,
N00135,2024-07-19,School Supplies,notebooks,4,Medium,F0015,Nashville,TN,37202,Closed,2024-07-20,2024-07-24,D0017,C010,
N00136,2024-11-09,Utilities,electric bill,6,Medium,F0031,Birmingham,AL,35201,Closed,2024-11-09,2024-11-13,D0080,C022,Urgent need for family in crisis
N00137,2024-06-26,Housing,mattress,2,High,F0188,Birmingham,AL,35201,Closed,2024-06-27,2024-06-29,D0067,C006,Urgent need for family in crisis
N00138,2024-05-19,Housing,bedding,6,Low,F0128,Birmingham,AL,35204,Closed,2024-05-19,2024-05-22,D0068,C023,
N00139,2024-07-07,Housing,furniture,5,Low,F0059,Charlotte,NC,28205,Matched,2024-07-07,,D0027,C029,
N00140,2024-08-29,Housing,mattress,1,Critical,F0058,Atlanta,GA,30303,In Progress,2024-08-30,,D0039,C006,
N00141,2024-10-19,Childcare,car seat,1,Medium,F0058,Atlanta,GA,30305,In Progress,2024-10-19,,D0129,C022,Urgent need for family in crisis
N00142,2024-05-24,Utilities,electric bill,4,Low,F0095,Birmingham,AL,35202,In Progress,2024-05-24,,D0023,C018,
N00143,2024-07-07,Transportation,bus pass,5,Medium,F0039,Birmingham,AL,35201,Closed,2024-07-08,2024-07-13,D0051,C024,Urgent need for family in crisis
N00144,2024-11-21,Housing,mattress,1,High,F0001,Nashville,TN,37204,Cancelled,,,,,Urgent need for family in crisis
N00145,2024-09-28,Transportation,gas card,2,High,F0024,Charlotte,NC,28201,Matched,2024-09-29,,D0126,C002,Urgent need for family in crisis
N00146,2024-08-22,Utilities,heating assistance,1,Low,F0130,Nashville,TN,37202,Cancelled,,,,,
N00147,2024-08-10,Utilities,electric bill,2,Medium,F0075,Atlanta,GA,30303,Cancelled,,,,,Urgent need for family in crisis
N00148,2024-06-11,Utilities,heating assistance,2,Low,F0040,Nashville,TN,37201,Fulfilled,2024-06-11,2024-06-12,D0060,C003,
N00149,2024-03-02,Medical,medical supplies,4,High,F0031,Birmingham,AL,35201,Closed,2024-03-02,2024-03-04,D0054,C015,
N00150,2024-06-16,Transportation,gas card,4,Low,F0174,Charlotte,NC,28203,Matched,2024-06-16,,D0064,C012,
N00151,2024-08-19,Clothing,winter coat,4,Low,F0036,Birmingham,AL,35201,Closed,2024-08-21,2024-08-21,D0141,C008,
N00152,2024-07-24,School Supplies,notebooks,5,High,F0020,Charlotte,NC,28201,In Progress,2024-07-25,,D0022,C019,Urgent need for family in crisis
N00153,2024-02-17,School Supplies,calculator,1,Medium,F0147,Charlotte,NC,28204,In Progress,2024-02-17,,D0011,C015,Urgent need for family in crisis
N00154,2024-07-14,Utilities,water bill,4,Medium,F0091,Atlanta,GA,30302,Cancelled,,,,,Urgent need for family in crisis
N00155,2024-03-17,Transportation,car repair,5,Medium,F0166,Birmingham,AL,35203,Requested,,,,,
N00156,2024-05-23,Medical,prescription assistance,5,Medium,F0162,Atlanta,GA,30305,Fulfilled,2024-05-23,2024-05-26,D0108,C007,Urgent need for family in crisis
N00157,2024-09-02,Utilities,heating assistance,5,High,F0100,Nashville,TN,37203,Closed,2024-09-03,2024-09-06,D0089,C030,
N00158,2024-01-16,Childcare,stroller,3,Medium,F0041,Charlotte,NC,28201,In Progress,2024-01-16,,D0121,C017,
N00159,2024-04-22,School Supplies,pencils,2,Medium,F0061,Atlanta,GA,30305,Closed,2024-04-23,2024-04-27,D0091,C030,
N00160,2024-12-26,Childcare,stroller,3,Medium,F0145,Atlanta,GA,30302,Cancelled,,,,,Urgent need for family in crisis
N00161,2024-03-30,Medical,first aid,5,Medium,F0006,Nashville,TN,37205,Fulfilled,2024-03-30,2024-03-31,D0024,C002,
N00162,2024-03-07,Childcare,stroller,3,Low,F0006,Charlotte,NC,28202,In Progress,2024-03-08,,D0046,C030,
