fulfillment_id,need_id,donor_id,church_id,request_date,matched_date,fulfilled_date,response_time_hours,fulfillment_time_hours,category,donor_rating
FH00001,N00001,D0119,C025,2024-12-13,2024-12-14,2024-12-15,24,24,Medical,5
FH00002,N00002,D0142,C030,2024-11-24,2024-11-25,2024-11-25,24,1,Clothing,5
FH00003,N00004,D0096,C008,2024-04-30,2024-04-30,2024-04-30,1,1,Utilities,4
FH00004,N00008,D0062,C019,2024-01-01,2024-01-01,2024-01-04,1,72,Clothing,4
FH00005,N00011,D0047,C026,2024-12-22,2024-12-23,2024-12-24,24,24,Childcare,5
FH00006,N00012,D0140,C016,2024-06-07,2024-06-08,2024-06-09,24,24,School Supplies,5
FH00007,N00016,D0091,C020,2024-06-28,2024-06-28,2024-06-30,1,48,Utilities,5
FH00008,N00028,D0087,C027,2024-12-03,2024-12-04,2024-12-09,24,120,Clothing,5
FH00009,N00030,D0117,C003,2024-12-16,2024-12-16,2024-12-20,1,96,Transportation,5
FH00010,N00037,D0116,C025,2024-02-07,2024-02-08,2024-02-11,24,72,School Supplies,5
FH00011,N00039,D0036,C011,2024-03-17,2024-03-18,2024-03-23,24,120,Childcare,5
FH00012,N00040,D0122,C027,2024-12-28,2024-12-28,2024-12-28,1,1,Transportation,4
FH00013,N00043,D0121,C028,2024-07-29,2024-07-30,2024-08-04,24,120,Clothing,4
FH00014,N00049,D0060,C002,2024-12-08,2024-12-08,2024-12-09,1,24,School Supplies,4
FH00015,N00052,D0048,C030,2024-01-19,2024-01-20,2024-01-24,24,96,Clothing,4
FH00016,N00055,D0104,C027,2024-03-30,2024-03-31,2024-04-03,24,72,Childcare,5
FH00017,N00058,D0057,C005,2024-07-07,2024-07-07,2024-07-10,1,72,Transportation,5
FH00018,N00060,D0052,C019,2024-02-01,2024-02-02,2024-02-05,24,72,Childcare,4
FH00019,N00061,D0015,C015,2024-02-16,2024-02-17,2024-02-17,24,1,School Supplies,5
FH00020,N00062,D0001,C024,2024-01-12,2024-01-12,2024-01-13,1,24,Medical,5
FH00021,N00064,D0021,C022,2024-08-17,2024-08-18,2024-08-21,24,72,Utilities,4
FH00022,N00068,D0139,C007,2024-07-24,2024-07-24,2024-07-28,1,96,Housing,5
FH00023,N00071,D0058,C010,2024-10-02,2024-10-02,2024-10-07,1,120,Transportation,5
FH00024,N00082,D0062,C007,2024-02-19,2024-02-19,2024-02-22,1,72,Utilities,5
FH00025,N00083,D0058,C010,2024-08-23,2024-08-23,2024-08-27,1,96,Food,5
